               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.040308,            0.023455,           0.0049234,             0.70048,             0.65868,             0.68811,             0.29677,            0.044839,            0.011706,           0.0064109,            0.004159,            0.004159,            0.004159
                  61,            0.039857,            0.024509,           0.0047379,             0.74523,             0.64717,             0.69266,             0.30657,            0.045688,            0.011619,           0.0029143,             0.00406,             0.00406,             0.00406
                  62,            0.040515,            0.024192,           0.0052925,             0.77744,              0.6272,             0.71487,             0.33244,             0.04538,            0.011697,          0.00092127,            0.003961,            0.003961,            0.003961
                  63,            0.040251,             0.02425,           0.0054287,             0.80206,             0.62022,             0.69932,             0.31699,             0.04469,            0.010942,           0.0053261,            0.003862,            0.003862,            0.003862
                  64,             0.03951,            0.024166,           0.0047034,             0.76978,             0.64395,             0.69092,             0.31019,            0.044849,            0.012093,          0.00063857,            0.003763,            0.003763,            0.003763
                  65,            0.039173,            0.024287,           0.0044713,             0.77071,             0.63319,             0.67848,             0.28389,            0.046902,            0.011321,           0.0016088,            0.003664,            0.003664,            0.003664
                  66,            0.039705,            0.024235,           0.0052622,             0.76853,             0.63679,             0.69146,             0.29319,            0.047394,             0.01144,          0.00070872,            0.003565,            0.003565,            0.003565
                  67,            0.039113,            0.024117,           0.0045799,             0.73251,             0.66705,             0.70055,             0.30714,            0.047493,            0.011064,           0.0045526,            0.003466,            0.003466,            0.003466
                  68,            0.039197,            0.023123,           0.0043883,              0.7775,             0.66517,             0.71731,              0.3375,            0.043863,            0.011128,           0.0010347,            0.003367,            0.003367,            0.003367
                  69,            0.038314,            0.023376,           0.0045003,              0.7501,              0.6581,             0.67729,             0.31149,            0.045044,            0.011489,          0.00067808,            0.003268,            0.003268,            0.003268
                  70,            0.039128,            0.024753,           0.0047271,             0.77637,             0.67301,             0.70863,             0.31674,            0.044571,            0.011027,           0.0011632,            0.003169,            0.003169,            0.003169
                  71,            0.038338,            0.023853,           0.0043371,             0.79594,             0.67169,              0.7233,             0.30397,            0.047425,            0.010984,            0.001077,             0.00307,             0.00307,             0.00307
                  72,            0.038607,            0.024345,           0.0044752,             0.77812,             0.66526,             0.72449,             0.33513,            0.042688,            0.010967,           0.0013841,            0.002971,            0.002971,            0.002971
                  73,            0.037914,            0.023735,           0.0033481,              0.8378,             0.68741,             0.73341,             0.37012,            0.042144,             0.01112,          0.00058586,            0.002872,            0.002872,            0.002872
                  74,            0.038232,            0.023848,           0.0048309,              0.8253,             0.65051,             0.70556,              0.2759,            0.048208,            0.011199,           0.0017308,            0.002773,            0.002773,            0.002773
                  75,            0.038434,            0.023247,           0.0042217,             0.81629,             0.70229,             0.74272,             0.32715,            0.045815,            0.010739,           0.0010306,            0.002674,            0.002674,            0.002674
                  76,            0.037922,             0.02342,           0.0040742,             0.76799,             0.67565,             0.70157,             0.34903,            0.042289,            0.011311,          0.00051345,            0.002575,            0.002575,            0.002575
                  77,             0.03751,            0.023265,           0.0036339,              0.7767,             0.68595,             0.72962,             0.37368,            0.040642,            0.011449,          0.00061061,            0.002476,            0.002476,            0.002476
                  78,            0.037635,            0.023255,           0.0039521,             0.78264,              0.6742,             0.72145,             0.34563,            0.043564,            0.011263,          0.00066952,            0.002377,            0.002377,            0.002377
                  79,            0.037518,            0.023832,           0.0033518,             0.79841,             0.62346,             0.69342,             0.33333,            0.042962,            0.011544,          0.00057222,            0.002278,            0.002278,            0.002278
                  80,            0.037035,            0.022825,           0.0032626,             0.80634,             0.66134,             0.70323,             0.32767,            0.043822,            0.010712,           0.0013866,            0.002179,            0.002179,            0.002179
                  81,             0.03783,            0.023408,           0.0036794,             0.77402,             0.64873,             0.71007,             0.34638,            0.042022,            0.011452,           0.0027811,             0.00208,             0.00208,             0.00208
                  82,            0.037478,            0.023164,           0.0039615,             0.77904,             0.67817,             0.72616,             0.32839,            0.043625,            0.010785,           0.0015799,            0.001981,            0.001981,            0.001981
                  83,            0.037503,            0.022911,           0.0046868,             0.79243,             0.66801,             0.69831,             0.34333,            0.043749,            0.011193,           0.0052762,            0.001882,            0.001882,            0.001882
                  84,            0.037167,            0.022892,           0.0036015,             0.81161,             0.68984,             0.75052,             0.35229,             0.04167,            0.011134,          0.00070306,            0.001783,            0.001783,            0.001783
                  85,            0.036938,            0.022702,           0.0032682,              0.8551,              0.6754,             0.74101,             0.37489,            0.041219,            0.010993,          0.00035296,            0.001684,            0.001684,            0.001684
                  86,            0.036747,            0.022913,            0.003416,             0.82886,             0.71283,             0.75709,             0.35903,            0.042427,            0.010991,           0.0044942,            0.001585,            0.001585,            0.001585
                  87,            0.036638,            0.022854,            0.003716,             0.80564,             0.70897,             0.74603,             0.37802,              0.0424,            0.011016,           0.0010216,            0.001486,            0.001486,            0.001486
                  88,             0.03651,            0.023036,           0.0030521,             0.84563,             0.65813,             0.75197,              0.3796,            0.040821,            0.011083,           0.0014776,            0.001387,            0.001387,            0.001387
                  89,            0.036053,             0.02233,           0.0031508,             0.79342,             0.71547,             0.72297,             0.36094,            0.041188,            0.011218,           0.0023817,            0.001288,            0.001288,            0.001288
                  90,            0.035982,            0.022701,           0.0032242,             0.80313,             0.68585,             0.73554,             0.33726,            0.042598,            0.011207,          0.00077818,            0.001189,            0.001189,            0.001189
                  91,            0.036331,            0.022761,           0.0032501,             0.82915,             0.68953,             0.72271,             0.37186,            0.040454,              0.0111,           0.0011203,             0.00109,             0.00109,             0.00109
                  92,            0.035942,            0.023706,            0.003251,             0.85205,             0.67611,             0.73312,             0.37643,            0.041424,            0.011033,           0.0039128,            0.000991,            0.000991,            0.000991
                  93,             0.03529,            0.022367,           0.0025315,             0.76769,             0.68874,             0.73044,             0.38063,            0.040275,            0.011132,          0.00077624,            0.000892,            0.000892,            0.000892
                  94,            0.035422,             0.02237,           0.0031756,             0.84977,             0.71268,             0.74419,             0.38419,            0.040526,            0.010899,          0.00057817,            0.000793,            0.000793,            0.000793
                  95,            0.035095,            0.022665,           0.0030228,             0.85779,             0.71789,             0.75504,             0.39321,            0.040398,             0.01087,            0.001501,            0.000694,            0.000694,            0.000694
                  96,            0.035444,            0.022441,           0.0031413,               0.862,             0.70929,             0.75105,             0.39163,            0.040944,             0.01078,          0.00069056,            0.000595,            0.000595,            0.000595
                  97,            0.035903,            0.022184,           0.0032175,             0.83976,             0.71431,              0.7627,              0.3907,            0.039982,              0.0109,           0.0012787,            0.000496,            0.000496,            0.000496
                  98,            0.035309,            0.021994,            0.003274,             0.81841,             0.70331,             0.75009,             0.38662,            0.040149,            0.011059,           0.0011239,            0.000397,            0.000397,            0.000397
                  99,             0.03538,            0.022615,           0.0032957,              0.8298,             0.71167,             0.75197,              0.4032,            0.039383,               0.011,          0.00079654,            0.000298,            0.000298,            0.000298
